Conceptscheme;Concept;PrefLabel;Definition;URI
gemeentenaamstatus;1;actief;Het adres is actief;http://data.vlaanderen.be/id/concept/gemeentenaamstatus/1
gemeentenaamstatus;2;gehistoreerd;Het adres is niet meer actief;http://data.vlaanderen.be/id/concept/gemeentenaamstatus/2
